title,Genre,Created by,Based on,Written by,Directed by,Starring,Narrated by,Composer,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Producers,Production locations,Cinematography,Editors,Camera setup,Running time,Production companies,Budget,Original network,Picture format,Audio format,Original release,Editor,Composers,Music by,Opening theme,Theme music composer,Story by,Production company,Presented by,Producer,Production location,Original languages,No. of series,Also known as,Screenplay by,Developed by,Executive producer,Ending theme,Voices of,Produced by,Edited by,Distributed by,Release date,Countries,Language
White House Plumbers,"['Political drama', 'Satire']","['Alex Gregory', 'Peter Huyck']","['Egil ""Bud"" Krogh', 'Matthew Krogh']","['Alex Gregory', 'Peter Huyck']",David Mandel,"['Woody Harrelson', 'Justin Theroux', 'Lena Headey', 'Domhnall Gleeson', 'Judy Greer', 'Kim Coates', 'Gary Cole', 'Toby Huss', 'Liam James', 'Tony Plana', 'Yul Vazquez', 'Zoe Levin', 'Nelson Ascencio', 'Rich Sommer', 'Tre Ryder', 'Alexis Valdés', 'Ike Barinholtz', 'John Carroll Lynch', 'Joel Murray', 'Emily Pendergast', 'Kathleen Turner', 'Zak Orth', 'Kiernan Shipka', 'Marc Menchaca', 'David Pasquesi', 'Eddie K. Robinson']",,Jeff Cardoni,United States,English,,4,"['Woody Harrelson', 'Justin Theroux', 'Alex Gregory', 'Peter Huyck', 'David Mandel', 'Frank Rich', 'Ruben Fleischer', 'David Bernad', 'Paul Lee', 'Nne Ebong', 'Mark Roybal', 'Len Amato', 'Gregg Fienberg']",,,,,,45–55 minutes,"['Fearless Films', 'Hot Seat Productions', 'Perfect Pleasant Productions', 'Genco Pura Olive Oil Company', 'wiip', 'The District', 'Crash&Salvage', 'HBO Entertainment']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","May 1, 2023 ( 2023-05-01 ) – present ( present )",,,,,,,,,,,,,,,,,,,,,,,,
True Detective,"['Anthology', 'Crime drama', 'Detective', 'Mystery', 'Thriller', 'Neo-noir', 'Southern Gothic [1]']",Nic Pizzolatto,,"['Nic Pizzolatto', 'Scott Lasser (s. 2)', 'David Milch (s. 3)', 'Graham Gordy (s. 3)']",,"['Matthew McConaughey', 'Woody Harrelson', 'Michelle Monaghan', 'Michael Potts', 'Tory Kittles', 'Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch', 'Kelly Reilly', 'Vince Vaughn', 'Mahershala Ali', 'Carmen Ejogo', 'Stephen Dorff', 'Scoot McNairy', 'Ray Fisher', 'Jodie Foster', 'Kali Reis']",,T Bone Burnett,United States,English,3,24 ( list of episodes ),"['Nic Pizzolatto', 'Cary Joji Fukunaga', 'Scott Stephens', 'Matthew McConaughey', 'Woody Harrelson', 'Steve Golin', 'Richard Brown', 'Daniel Sackheim (s. 3)', 'Jeremy Saulnier (s. 3)', 'Bard Dorros (s. 3)']","['Carol Cuddy (s. 1)', 'Aida Rodgers (s. 2)', 'Peter Feldman (s. 3)']","['Louisiana (s. 1)', 'California (s. 2)', 'Arkansas (s. 3)']","['Adam Arkapaw (s. 1)', 'Nigel Bluck (s. 2–3)', 'Germain McMicking (s. 3)']","['Alex Hall (s. 1–2)', 'Affonso Gonçalves (s. 1)', 'Meg Ritcher (s. 1)', 'Chris Fiegler (s. 2)', 'Byron Smith (s. 2)', 'Leo Trombetta (s. 3)']",,54–87 minutes,"['Anonymous Content', 'Parliament of Owls', 'Passenger', 'Neon Black', 'Lee Caplin / Picture Entertainment', 'HBO Entertainment']",,HBO,['HDTV 1080p'],['Dolby Digital 5.1'],"January 12, 2014 ( 2014-01-12 ) – present",,,,"['"" Far from Any Road "" by The Handsome Family (s. 1)', '"" Nevermind "" by Leonard Cohen (s. 2)', '"" Death Letter "" by Cassandra Wilson (s. 3)']",,,,,,,,,,,,,,,,,,,,
The White Lotus,"['Comedy drama [1]', 'Satire [2]', 'Black comedy [3]', 'Anthology']",Mike White,,Mike White,Mike White,see below,,,United States,English,2,13,"['Nick Hall', 'David Bernad', 'Mike White', 'Mark Kamine']","['John M. Valerio', 'Heather Persons', 'Todd Brown']","['Hawaii', 'Sicily']","['Ben Kutchins', 'Xavier Grobet']","['Heather Persons', 'John M. Valerio']",,54–77 minutes,"['HBO Entertainment', 'Pallogram', 'The District', 'Rip Cord Productions']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","July 11, 2021 ( 2021-07-11 ) – present ( present )",,,"['Cristobal Tapia de Veer', 'Kim Neundorf']",,,,,,,,,,,,,,,,,,,,,
My Brilliant Friend,"['Drama', 'Coming-of-age [1]']",Saverio Costanzo,Neapolitan Novels by Elena Ferrante,"['Elena Ferrante', 'Francesco Piccolo', 'Laura Paolucci', 'Saverio Costanzo']","['Saverio Costanzo', 'Alice Rohrwacher', 'Daniele Luchetti']","['Gaia Girace', 'Margherita Mazzucco', '(See full cast list )']",Alba Rohrwacher,Max Richter,"['Italy', 'United States']",,3,24 ( list of episodes ),"['Lorenzo Mieli', 'Domenico Procacci', 'Mario Gianani', 'Guido De Laurentiis', 'Elena Recchia', 'Jennifer Schuur', 'Paolo Sorrentino']","['Luigi Marinello', 'Sara Polese', 'Laura Paolucci', 'Daria Hensemberger']","['Metropolitan City of Naples', 'Province of Caserta', 'Province of Latina', 'Province of Pisa', 'Metropolitan City of Milan', 'Metropolitan City of Florence']","['Fabio Cianchetti', 'Hélène Louvart', 'Ivan Casalgrandi']","['Francesca Calvelli', 'Carlotta Cristiani', 'Stefano Mariotti', 'Annalisa Forgione']",,43–67 minutes,"['Wildside', 'Fandango', 'Umedia ( s. 1–2)', 'The Apartment ( s. 2–3)', 'Mowe ( s. 2)', 'Fremantle ( s. 3)']",,"['HBO (US)', 'Rai 1 (Italy)', 'TIMvision (Italy, s. 1)']","['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","November 18, 2018 ( 2018-11-18 ) – present ( present )",,,,,,,,,,,"['Neapolitan', 'Italian']",,,,,,,,,,,,,
Industry,Drama,Mickey Down Konrad Kay,,,,see Main,,,"['United States', 'United Kingdom']",English,,16,"['Jane Tranter', 'Lachlan MacKinnon', 'David P. Davis', 'Ryan Rasmussen', 'Mickey Down', 'Konrad Kay', 'Joel Collins', ""Jami O'Brien""]","['Lee Thomas', 'Edoardo Ferretti']",,"['Daniel Stafford-Clark', 'Milos Moore', 'Catherine Derry', 'Erik Molberg Hansen', 'Federico Cesca', 'Martin V. Rush']","['Maya Maffioli', 'Sam Williams', 'Dan Robinson', 'Christopher Watson', 'Mary Finlay', 'Peter Christelis', 'Sarah Louise Bates', 'Richard Ketteridge', 'Carly Brown', 'Kyle Ogden', 'Kyle Traynor']",,49–52 minutes,,,"['HBO (US)', 'BBC Two (UK)']","['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']",9 November 2020 ( 2020-11-09 ) – present ( present ),,,Nathan Micay,,,,['Bad Wolf'],,,,,2,,,,,,,,,,,,
Strike,"['Crime drama', 'Detective fiction']",,Cormoran Strike by Robert Galbraith,"['Ben Richards', 'Tom Edge']","['Michael Keillor', 'Kieron Hawkes', 'Charles Sturridge', 'Sue Tully']","['Tom Burke', 'Holliday Grainger']",,Adrian Johnston,United Kingdom,English,,15,"['Ben Richards', 'Neil Blair', 'Ruth Kenley-Letts', 'J. K. Rowling', 'Elizabeth Kilgarriff', 'Tom Edge', 'Tommy Bulfin']","['Jackie Larkin', 'Alex Rendell']",,,,,57–59 minutes,Brontë Film and Television,,BBC One,HDTV 1080i,Stereo,27 August 2017 ( 2017-08-27 ) – present ( present ),,,,"""I Walk Beside You"" by Beth Rowley",,,,,,,,5,C. B. Strike,,,,,,,,,,,
Rain Dogs,,Cash Carraway,,,"['Richard Laxton', 'Jennifer Perrott']","['Daisy May Cooper', 'Jack Farthing', 'Ronkẹ Adékoluẹjo', 'Fleur Tashjian']",,,United Kingdom,English,,8,"['Cash Carraway', 'Jo McLellan', 'Lee Morris', 'Sally Woodward Gentle']","['Henrietta Colvin', 'Ciara McIlvenny']","['Bristol, England', 'Gloucestershire, England', 'London, England', 'Somerset, England']","['Carlos Catalán', 'Wojciech Szepel', 'Felix Wiedemann']",,,,"['BBC Studios', 'Sid Gentle Films']",,"['BBC One', 'HBO']","['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']",6 March 2023 ( 2023-03-06THBO ) – present,,,,,,,,,,,,1,,Cash Carraway,,,,,,,,,,
How To with John Wilson,"['Comedy [1] [2] [3]', 'Docuseries']",John Wilson,,"['John Wilson', 'Michael Koman', 'Alice Gregory', 'Susan Orlean', ""Conner O'Malley""]",John Wilson,,,,United States,English,2,12,"['Nathan Fielder', 'Clark Reinking', 'John Wilson', 'Michael Koman']",,,,,,25–28 minutes,"['Blow Out Productions', ""John's Movies"", 'Atlantic Pictures (season 2)']",,HBO,,,"October 23, 2020 ( 2020-10-23 ) – present",Adam Locke-Norton,,,,,,,,['Brendan McHugh'],New York City,,,,,,,,,,,,,,
Painting with John,,John Lurie,,John Lurie,John Lurie,John Lurie,,John Lurie,United States,English,2,12,"['Adam McKay', 'Todd Schulman']","Nesrin Wolf, Matt Dwyer",,Erik Mockus,,,20–24 minutes,HBO Entertainment Hyperobject Industries,,HBO,,,"January 22, 2021 ( 2021-01-22 ) – present ( present )",Erik Mockus,,,,,,,,,,,,,,,,,,,,,,,
100 Foot Wave,Documentary,,,,Chris Smith,,,,United States,English,2,12,"['Chris Smith', 'Joe Lewis', 'Ryan Heller', 'Maria Zuckerman', 'Michael Bloom', 'Nancy Abraham', 'Lisa Heller', 'Bentley Weiner']",,,,"['Connor Culhane', 'Adrienne Gits', 'Abhay Sofsky', 'Brandon Valentin']",,52-60 minutes,"['Topic Studios', 'Amplify Pictures', 'Library Films', 'React Films', 'Cinetic Media']",,HBO,,,"July 18, 2021 ( 2021-07-18 ) – present",,,,,,,,,,,,,,,,,,,,,,,,
