title,Genre,Created by,Based on,Written by,Directed by,Starring,Narrated by,Composer,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Producers,Production locations,Cinematography,Editors,Camera setup,Running time,Production companies,Budget,Original network,Picture format,Audio format,Original release,Editor,Composers,Music by,Opening theme,Theme music composer,Story by,Production company,Presented by,Producer,Production location,Original languages,No. of series,Also known as,Screenplay by,Developed by,Executive producer,Ending theme,Voices of,Produced by,Edited by,Distributed by,Release date,Countries,Language
Maximum Security,,,,,,Robert Desiderio Geoffrey Lewis Jean Smart Robert Alan Browne Stephen Elliott,,,United States,English,1,7,Ron Howard Tony Ganz,,,,,,45 minutes (pilot) 30 minutes (series),,,HBO,,,"July 3, 1984 ( 1984-07-03 ) (pilot) March 5, 1985 ( 1985-03-05 ) (series) – April 9, 1985 ( 1985-04-09 )",,,,,,,,,Jeffrey Ganz,,,,,,,,,,,,,,,
Oz,"['Crime', 'Drama', 'Thriller']",Tom Fontana,,"['Tom Fontana', 'Bradford Winters', 'Sunil Nayar', 'Sean Jablonski', 'Sean Whitesell']",,"['Ernie Hudson', 'Terry Kinney', 'Harold Perrineau', 'Eamonn Walker', 'Kirk Acevedo', 'Rita Moreno', 'J. K. Simmons', 'Lee Tergesen', 'Dean Winters', 'Adewale Akinnuoye-Agbaje']",,,United States,,6,56 ( list of episodes ),"['Tom Fontana', 'Barry Levinson', 'Jim Finnerty']","['Debbie Sarjeant', 'Mark A. Baker', 'Irene Burns', 'Bridget Potter', 'Jorge Zamacona', 'Greer Yeaton']",,,,,55–60 minutes 80 minutes (series finale),"['The Levinson / Fontana Company', 'Viacom Productions (seasons 4–5)', 'Rysher Entertainment (seasons 1–5)', 'HBO Original Programming']",,HBO,,,"July 12, 1997 ( 1997-07-12 ) – February 23, 2003 ( 2003-02-23 )",Deborah Moran,,,,"['Rosen', 'Dave Darlington']",,,,,,,,,,,,,,,,,,,
The Sopranos,"['Crime drama', 'Serial drama', 'Psychological drama', 'Black comedy']",David Chase,,,,"['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli', 'Dominic Chianese', 'Steven Van Zandt', 'Tony Sirico', 'Robert Iler', 'Jamie-Lynn Sigler']",,,United States,English,6,86 ( list of episodes ),"['David Chase', 'Brad Grey', 'Robin Green', 'Mitchell Burgess', 'Ilene S. Landress', 'Terence Winter', 'Matthew Weiner']",,"['New Jersey', 'Silvercup Studios , New York City']","['Alik Sakharov', 'Phil Abraham']","['Sidney Wolinsky', 'William B. Stich', 'Conrad M. Gonzalez']",Single camera [1],43–75 minutes,"['Chase Films', 'Brad Grey Television', 'HBO Entertainment']",,HBO,NTSC,Stereo,"January 10, 1999 ( 1999-01-10 ) – June 10, 2007 ( 2007-06-10 )",,,,""" Woke Up This Morning (Chosen One Mix)"" by Alabama 3",,,,,,,,,,,,,Various,,,,,,,
Six Feet Under,"['Comedy drama [1] [2] [3]', 'Black comedy [4] [5]', 'Psychological drama [1] [4]']",Alan Ball,,,,"['Peter Krause', 'Michael C. Hall', 'Frances Conroy', 'Lauren Ambrose', 'Freddy Rodriguez', 'Mathew St. Patrick', 'Jeremy Sisto', 'Rachel Griffiths', 'James Cromwell', 'Justina Machado']",,Richard Marvin,United States,English,5,63 ( list of episodes ),"['Alan Ball', 'Robert Greenblatt', 'David Janollari', 'Alan Poul', 'Bruce Eric Kaplan', 'Rick Cleveland']",,,,,Single-camera,46–72 minutes,"['Actual Size Films', 'The Greenblatt/Janollari Studio', 'HBO Entertainment']",,HBO,NTSC (seasons 1–2) 1080i HDTV (seasons 3–5),,"June 3, 2001 ( 2001-06-03 ) – August 21, 2005 ( 2005-08-21 )",,,,,Thomas Newman,,,,,,,,,,,,,,,,,,,
The Wire,"['Crime', 'Serial drama', 'Tragedy [1] [2] [3]']",David Simon,,,,"['Dominic West', 'John Doman', 'Idris Elba', 'Frankie Faison', 'Larry Gilliard Jr.', 'Wood Harris', 'Deirdre Lovejoy', 'Wendell Pierce', 'Lance Reddick', 'Andre Royo', 'Sonja Sohn', 'Chris Bauer', 'Paul Ben-Victor', 'Clarke Peters', 'Amy Ryan', 'Aidan Gillen', 'Jim True-Frost', 'Robert Wisdom', 'Seth Gilliam', 'Domenick Lombardozzi', 'J. D. Williams', 'Michael K. Williams', 'Corey Parker Robinson', 'Reg E. Cathey', 'Chad L. Coleman', 'Jamie Hector', 'Glynn Turman', 'Clark Johnson', 'Tom McCarthy', 'Gbenga Akinnagbe', 'Neal Huff', 'Jermaine Crawford', 'Tristan Wilds', 'Michael Kostroff', 'Michelle Paress', 'Isiah Whitlock Jr.']",,,United States,English,5,60 ( list of episodes ),"['David Simon', 'Robert F. Colesberry', 'Nina Kostroff Noble']","['Karen L. Thorson', 'Ed Burns', 'Joe Chappelle', 'George Pelecanos', 'Eric Overmyer']","Baltimore, Maryland",,,,"['55–60 minutes', '93 minutes (series finale)']","['Blown Deadline Productions', 'HBO Entertainment']",,HBO,NTSC,Surround sound,"June 2, 2002 ( 2002-06-02 ) – March 9, 2008 ( 2008-03-09 )",,,,"['"" Way Down in the Hole "" by The Blind Boys of Alabama (season 1)', 'Tom Waits (season 2)', 'The Neville Brothers (season 3)', 'DoMaJe (season 4)', 'Steve Earle (season 5)']",Tom Waits,,,,,,,,,,,,"""The Fall"" by Blake Leyh",,,,,,,
Carnivàle,"['Dark fantasy', 'Period drama', 'Mystery']",Daniel Knauf,,,,"['Michael J. Anderson', 'Adrienne Barbeau', 'Patrick Bauchau', 'Clancy Brown', 'Debra Christofferson', 'Tim DeKay', 'Clea DuVall', 'Cynthia Ettinger', 'John Fleck', 'Carla Gallo', 'Toby Huss', 'Amy Madigan', 'Diane Salinger', 'Nick Stahl', 'Karyne Steben', 'Sarah Steben', 'Brian Turk', 'Ralph Waite']",,Jeff Beal,United States,English,2,24 ( list of episodes ),"['Howard Klein', 'Daniel Knauf', 'Ronald D. Moore']",,,,,Single-camera,46–58 minutes,"['3 Arts Entertainment', 'Home Box Office']",,HBO,,,"September 7, 2003 ( 2003-09-07 ) – March 27, 2005 ( 2005-03-27 )",,,,,"['Wendy Melvoin', 'Lisa Coleman']",,,,,California,,,,,,,,,,,,,,
K Street,Comedy drama,Steven Soderbergh,,Henry Bean,Steven Soderbergh,"['James Carville', 'Mary Matalin', 'John Slattery', 'Mary McCormack', 'Roger Guenveur Smith']",,,United States,English,1,10,"['Henry Bean', 'George Clooney', 'Mark Sennet', 'Steven Soderbergh', 'Grant Heslov']","['Jonathan Zurer', 'Mike Fountain']",,Steven Soderbergh,"['Steven Soderbergh', 'Tony Black']",Single-camera setup,30 minutes,,,HBO,,,"September 14 ( 2003-09-14 ) – November 16, 2003 ( 2003-11-16 )",,,,,,,Interface Media Group,,,Washington D.C.,,,,,,,,,,,,,,
Deadwood,"['Western', 'Period drama', 'Serial drama']",David Milch,,,,"['Timothy Olyphant', 'Ian McShane', 'Molly Parker', 'Jim Beaver', 'Brad Dourif', 'John Hawkes', 'Paula Malcomson', 'Leon Rippy', 'William Sanderson', 'Robin Weigert', 'W. Earl Brown', 'Dayton Callie', 'Keith Carradine', 'Powers Boothe', 'Kim Dickens', 'Anna Gunn', 'Jeffrey Jones', 'Sean Bridgers', 'Titus Welliver', 'Bree Seanna Wall', 'Josh Eriksson', 'Garret Dillahunt', 'Brent Sexton']",,,United States,English,3,36 ( list of episodes ),"['David Milch', 'Gregg Fienberg', 'Mark Tinker']",,,,,,48–60 minutes,"['Roscoe Productions', 'Red Board Productions', 'Paramount Network Television', 'Home Box Office']",,HBO,,,"March 21, 2004 ( 2004-03-21 ) – August 27, 2006 ( 2006-08-27 )",,"['Reinhold Heil', 'Johnny Klimek', 'David Schwartz', 'Michael Brook']",,,David Schwartz,,,,,,,,,,,,,,,,,,,
Rome,Historical drama,"['John Milius', 'William J. MacDonald', 'Bruno Heller']",,,,"['Kevin McKidd', 'Ray Stevenson', 'Polly Walker', 'Ciarán Hinds', 'Kenneth Cranham', 'Lindsay Duncan', 'Tobias Menzies', 'Ronan Vibert', 'Kerry Condon', 'Karl Johnson', 'Indira Varma', 'David Bamber', 'Max Pirkis', 'Lee Boardman', 'Nicholas Woodeson', 'Suzanne Bertish', 'Paul Jesson', 'James Purefoy', 'Simon Woods', 'Lyndsey Marshal', 'Ian McNeice']",,Jeff Beal,"['Italy', 'United Kingdom', 'United States']",English,2,22 ( list of episodes ),"['Bruno Heller', 'John Melfi', 'Anne Thomopoulos', 'William J. MacDonald', 'John Milius']",,"['Lazio , Italy', 'Sofia , Bulgaria']","['Alik Sakharov , ASC', 'Martin Kenzie', 'Marco Pontecorvo']",,,44–65 minutes,,,"['HBO (United States)', 'BBC Two (United Kingdom)', 'Rai 2 (Italy)']",1080i ( HDTV ),,28 August 2005 ( 2005-08-28 ) – 25 March 2007 ( 2007-03-25 ),,,,,,,,,,,,,,,,,,,,,,,,
Big Love,Drama,"['Mark V. Olsen', 'Will Scheffer']",,,,"['Bill Paxton', 'Jeanne Tripplehorn', 'Chloë Sevigny', 'Ginnifer Goodwin', 'Amanda Seyfried', 'Douglas Smith', 'Grace Zabriskie', 'Mary Kay Place', 'Matt Ross', 'Cassi Thomson', 'Shawn Doyle', 'Mireille Enos', 'Željko Ivanek', 'Melora Walters', 'Joel McKinnon Miller', 'Daveigh Chase', 'Jolean Wejbe', 'Bruce Dern', 'Harry Dean Stanton']",,,United States,English,5,53 ( list of episodes ),"['Tom Hanks', 'Gary Goetzman', 'Mark V. Olsen', 'Will Scheffer', 'Gregg Fienberg', 'David Knoller']",,,,,,46-58 minutes [1],"['Anima Sola Productions', 'Playtone', 'HBO Entertainment']",,HBO,,,"March 12, 2006 ( 2006-03-12 ) – March 20, 2011 ( 2011-03-20 )",,"['Mark Mothersbaugh (season 1)', 'David Byrne (season 2)', 'Anton Sanko (seasons 3-5)']",,"['"" God Only Knows "" by The Beach Boys (seasons 1–3)', '""Home"" by Engineers (seasons 4–5)']",,,,,,,,,,,,,,,,,,,,
Five Days,Crime drama,,,Gwyneth Hughes,"['Otto Bathurst', 'Simon Curtis']","['Hugh Bonneville', 'David Oyelowo', 'Sarah Smart', 'Edward Woodward']",,,"['United Kingdom', 'United States']",,,10,,,,,,,60 minutes,,,"['BBC One (UK)', 'HBO (US)']","720x576 , anamorphic 16:9",,23 January 2007 ( 2007-01-23 ) – 5 March 2010 ( 2010-03-05 ),,,Magnus Fiennes,,,,,,,,,2,,,,,,,,,,,,
John from Cincinnati,,"['David Milch', 'Kem Nunn']",,,,"['Bruce Greenwood', 'Rebecca De Mornay', 'Austin Nichols', ""Ed O'Neill"", 'Luke Perry', 'Keala Kennelly', 'Luis Guzmán', 'Willie Garson', 'Matt Winston', 'Garret Dillahunt', 'Brian Van Holt', 'Jim Beaver', 'Greyson Fletcher', 'Dayton Callie', 'Paula Malcomson', 'Emily Rose', 'Mark-Paul Gosselaar', 'Jennifer Grey']",,,United States,English,1,10,,,,,,,47-57 minutes,,,HBO,,,"June 10 ( 2007-06-10 ) – August 12, 2007 ( 2007-08-12 )",,,,"""Johnny Appleseed"" by The Mescaleros",,,,,,"Imperial Beach, California",,,,,,,,,,,,,,
Tell Me You Love Me,,,,,,"['Jane Alexander', 'Michelle Borth', 'Tim DeKay', 'Luke Kirby', 'Adam Scott', 'David Selby', 'Katharine Towne', 'Sonya Walger', 'Ally Walker']",,,United States,,1,10,,,"Winnipeg , Manitoba , Canada",,,,47-55 minutes,,,HBO,,,"September 9 ( 2007-09-09 ) – November 11, 2007 ( 2007-11-11 )",,,,,,,,,,,,,,,,,,,,,,,,
In Treatment,Drama,,"['Hagai Levi', 'Ori Sivan', 'Nir Bergman']",,,"['Gabriel Byrne', 'Dianne Wiest', 'Michelle Forbes', 'Melissa George', 'Blair Underwood', 'Mia Wasikowska', 'Embeth Davidtz', 'Josh Charles', 'Hope Davis', 'Alison Pill', 'Aaron Shaw', 'Sherri Saum', 'Russell Hornsby', 'John Mahoney', 'Irrfan Khan', 'Debra Winger', 'Dane DeHaan', 'Amy Ryan', 'Alex Wolff', 'Uzo Aduba', 'Anthony Ramos', 'John Benjamin Hickey', 'Quintessa Swindell', 'Charlayne Woodard', 'Liza Colón-Zayas']",,Richard Marvin,United States,English,4,130 ( list of episodes ),"['Rodrigo García', 'Stephen Levinson', 'Hagai Levi', 'Mark Wahlberg', 'Warren Leight', 'Paris Barclay', 'Dan Futterman', 'Anya Epstein', 'Noa Tishby', 'Jennifer Schuur', 'Joshua Allen', 'Melissa Bernstein', 'Julian Farino']",,"['Los Angeles (seasons 1, 4)', 'New York City (seasons 2–3)']",,,,22–30 minutes,"['Leverage Management', 'Closest to the Hole Productions', 'Sheleg']",,HBO,,,"January 28, 2008 ( 2008-01-28 ) – June 28, 2021 ( 2021-06-28 )",,,,,Avi Belleli,,,,,,,,,,Rodrigo García,,,,,,,,,
True Blood,"['Fantasy', 'Horror', 'Drama']",Alan Ball,The Southern Vampire Mysteries by Charlaine Harris,,,"['Anna Paquin', 'Stephen Moyer', 'Alexander Skarsgård', 'Sam Trammell', 'Ryan Kwanten', 'Rutina Wesley', 'Chris Bauer', 'Nelsan Ellis', 'Jim Parrack', 'Carrie Preston', 'Michael Raymond-James', 'William Sanderson', 'Lynn Collins', 'Lois Smith', 'Adina Porter', 'Lizzy Caplan', 'Stephen Root', 'Mehcad Brooks', 'Anna Camp', 'Michelle Forbes', 'Todd Lowe', 'Michael McMillian', 'Deborah Ann Woll', 'Mariana Klaveno', 'Marshall Allman', 'Kristin Bauer van Straten', 'Kevin Alejandro', ""Denis O'Hare"", 'Lindsay Pulsipher', 'Lauren Bowles', 'Janina Gavankar', 'Fiona Shaw', 'Jessica Tuck', 'Joe Manganiello', 'Scott Foley', 'Lucy Griffiths', 'Christopher Meloni', 'Valentina Cervi', 'Rutger Hauer', 'Arliss Howard', 'Kelly Overton', 'Robert Patrick', 'Rob Kazinsky', 'Jurnee Smollett-Bell', 'Amelia Rose Blaire', 'Gregg Daniel', 'Aaron Christian Howles', 'Noah Matthews', 'Bailey Noble', 'Nathan Parsons', 'Karolina Wydra', 'Tara Buck']",,Nathan Barr,United States,English,7,80 ( list of episodes ),"['Alan Ball', 'Gregg Fienberg', 'Brian Buckner', 'Raelle Tucker', 'Alexander Woo', 'Nancy Oliver', 'Mark Hudis', 'Angela Robinson']","['Christina Jokanovich (co-producer)', 'David Auge (co-producer)', 'Marlis Pujol (co-producer)', 'Luis M. Patiño (associate producer)', 'Bruce Dunn', 'W. Mark McNair', 'Carol Dunn Tussell']",,,,,45–64 minutes,"['Your Face Goes Here Entertainment', 'HBO Entertainment']",,HBO,,,"September 7, 2008 ( 2008-09-07 ) – August 24, 2014 ( 2014-08-24 )",,,,""" Bad Things "" by Jace Everett",Jace Everett,,,,,,,,,,,,,,,,,,,
Boardwalk Empire,"['Crime drama', 'Period drama', 'Serial drama']",Terence Winter,"Boardwalk Empire: The Birth, High Times, and Corruption of Atlantic City by Nelson Johnson",,,"['Steve Buscemi', 'Michael Pitt', 'Kelly Macdonald', 'Michael Shannon', 'Shea Whigham', 'Aleksa Palladino', 'Michael Stuhlbarg', 'Stephen Graham', 'Vincent Piazza', 'Paz de la Huerta', 'Michael Kenneth Williams', 'Anthony Laciura', 'Paul Sparks', 'Dabney Coleman', 'Jack Huston', 'Gretchen Mol', 'Charlie Cox', 'Bobby Cannavale', 'Ron Livingston', 'Jeffrey Wright', 'Ben Rosenfield']",,,United States,English,5,56 ( list of episodes ),"['Terence Winter', 'Martin Scorsese', 'Mark Wahlberg', 'Tim Van Patten', 'Howard Korder', 'Stephen Levinson']",,,,"['Kate Stanford', 'Tim Streeto']",Single-camera,50–73 minutes,"['HBO Entertainment', 'Leverage Entertainment', 'Closest to the Hole Productions', 'Sikelia Productions', 'Cold Front Productions']",,HBO,['HDTV 1080p'],['Dolby Digital 5.1'],"September 19, 2010 ( 2010-09-19 ) – October 26, 2014 ( 2014-10-26 )",,,,"""Straight Up and Down""",The Brian Jonestown Massacre,,,,,New York City,,,,,,,,,,,,,,
Treme,Drama,"['David Simon', 'Eric Overmyer']",,,,"['Khandi Alexander', 'Rob Brown', 'Kim Dickens', 'John Goodman', 'Michiel Huisman', 'Melissa Leo', 'Lucia Micarelli', 'Clarke Peters', 'Wendell Pierce', 'Steve Zahn', 'India Ennenga', 'David Morse', 'Jon Seda', 'Chris Coy']",,,United States,English,4,36 ( list of episodes ),"['David Simon', 'Nina Kostroff Noble', 'Eric Overmyer', 'Carolyn Strauss', 'James Yoshimura', 'George Pelecanos']",,"New Orleans , Louisiana",,,Single-camera,58–88 minutes,"['Blown Deadline Productions', 'HBO Entertainment']",,HBO,1080i HDTV,Dolby Digital 5.1,"April 11, 2010 ( 2010-04-11 ) – December 29, 2013 ( 2013-12-29 )",,,,"""The Treme Song"" by John Boutté",,,,,Joseph Incaprera,,,,,,,,,,,,,,,
Game of Thrones,"['Action', 'Adventure', 'Fantasy [1]', 'Serial drama [2]', 'Tragedy [3] [4]']","['David Benioff', 'D. B. Weiss']",A Song of Ice and Fire by George R. R. Martin,,,see List of Game of Thrones characters,,Ramin Djawadi,United States,English,8,73 ( list of episodes ),"['David Benioff', 'D. B. Weiss', 'George R. R. Martin', 'Carolyn Strauss', 'Frank Doelger', 'Bernadette Caulfield', 'Bryan Cogman', 'Miguel Sapochnik', 'David Nutter']","['Mark Huffam', 'Joanna Burn', 'Chris Newman', 'Greg Spence', 'Lisa McAtackney', 'Duncan Muggoch']","['United Kingdom', 'Croatia', 'Iceland', 'Spain', 'Malta', 'Morocco', 'Canada']",,,,50–82 minutes,"['HBO Entertainment', 'Television 360', 'Grok! Television', 'Generator Entertainment', 'Startling Television', 'Bighead Littlehead']",,HBO,"['HDTV 1080i', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","April 17, 2011 ( 2011-04-17 ) – May 19, 2019 ( 2019-05-19 )",,,,""" Main Title """,Ramin Djawadi,,,,,,,,,,,,,,,,,,,
Luck,Drama,David Milch,,,,"['Dustin Hoffman', 'Dennis Farina', 'John Ortiz', 'Richard Kind', 'Kevin Dunn', 'Ian Hart', 'Ritchie Coster', 'Jason Gedrick', 'Kerry Condon', 'Gary Stevens', 'Tom Payne', 'Jill Hennessy', 'Nick Nolte', 'Michael Gambon']",,,United States,English,1,9,"['David Milch', 'Michael Mann', 'Carolyn Strauss']",,,,,,47–67 minutes,,,HBO,,,"December 11, 2011 ( 2011-12-11 ) – March 25, 2012 ( 2012-03-25 )",,,,""" Splitting the Atom "" by Massive Attack",,,HBO Entertainment,,Dustin Hoffman,,,,,,,,,,,,,,,
The Newsroom,Political drama,Aaron Sorkin,,Aaron Sorkin,,"['Jeff Daniels', 'Emily Mortimer', 'John Gallagher Jr.', 'Alison Pill', 'Thomas Sadoski', 'Dev Patel', 'Olivia Munn', 'Sam Waterston']",,,United States,English,3,25 ( list of episodes ),"['Aaron Sorkin', 'Scott Rudin', 'Alan Poul', 'Paul Lieberstein', 'Denis Biggs']",,"['Los Angeles', 'New York City']",Todd McMullen,,,"['52–64 minutes', '73 minutes (pilot)']",,,HBO,,,"June 24, 2012 ( 2012-06-24 ) – December 14, 2014 ( 2014-12-14 )",,"['Alex Wurman', 'Johnny Klimek', 'Jeff Beal']",,,Thomas Newman,,HBO Entertainment,,,,,,,,,,,,,,,,,
The Leftovers,"['Drama', 'Supernatural fiction', 'Mystery', 'Magical realism', 'Psychological thriller', 'Philosophical fiction']","['Damon Lindelof', 'Tom Perrotta']",The Leftovers by Tom Perrotta,,,"['Justin Theroux', 'Amy Brenneman', 'Christopher Eccleston', 'Liv Tyler', 'Chris Zylka', 'Margaret Qualley', 'Carrie Coon', 'Emily Meade', 'Amanda Warren', 'Ann Dowd', 'Michael Gaston', 'Max Carver', 'Charlie Carver', 'Annie Q.', 'Janel Moloney', 'Regina King', 'Kevin Carroll', 'Jovan Adepo', 'Scott Glenn']",,Max Richter,United States,English,3,28 ( list of episodes ),"['Damon Lindelof', 'Tom Perrotta', 'Peter Berg', 'Sarah Aubrey', 'Mimi Leder', 'Tom Spezialy', 'Eugene Kelly']","['Nan Bernstein Freed', 'Patrick Markey', 'Alma Kuttruff', 'Amanda Crittenden']","['New York, U.S. (seasons 1–2)', 'Texas, U.S. (seasons 2–3)', 'Victoria, Australia (season 3)']","['Michael Slovis (pilot)', 'Todd McMullen', 'Michael Grady', 'John Grillo', 'Robert Humphreys']","['Colby Parker Jr. (pilot)', 'Henk Van Eeghen', 'David Eisenberg', 'Michael Ruscio']",Single-camera,51–72 minutes,"['White Rabbit Productions', 'Film 44', 'Warner Bros. Television', 'HBO Entertainment']",,HBO,HDTV 1080i,Stereo,"June 29, 2014 ( 2014-06-29 ) – June 4, 2017 ( 2017-06-04 )",,,,"['""Leftovers Theme"" by Max Richter (season 1)', '""Let the Mystery Be"" by Iris DeMent (season 2 and series finale)', 'Various (season 3)']",,,,,,,,,,,,,,,,,,,,
Vinyl,"['Period drama', 'Crime drama']","['Mick Jagger', 'Martin Scorsese', 'Rich Cohen', 'Terence Winter']",,,,"['Bobby Cannavale', 'Paul Ben-Victor', 'P. J. Byrne', 'Max Casella', 'Ato Essandoh', 'James Jagger', 'J. C. MacKenzie', 'Jack Quaid', 'Ray Romano', 'Birgitte Hjort Sørensen', 'Juno Temple', 'Olivia Wilde']",,,United States,English,,10 ( list of episodes ),"['Martin Scorsese', 'Mick Jagger', 'Terence Winter', 'Victoria Pearman', 'Rick Yorn', 'Emma Tillinger Koskoff', 'John Melfi', 'Allen Coulter', 'George Mastras', 'Scott Z. Burns', 'Max Borenstein']","['Mari Jo Winkler-Ioffreda', 'Brad Carpenter', 'Jessica Levin', 'Erin Cressida Wilson', 'David Matthews']","['Steiner Studios , Brooklyn, New York', 'New York City, New York']","['Rodrigo Prieto', 'Reed Morano', 'David Franco']","['David Tedeschi', 'Tim Streeto', 'Kate Sanford']",Single-camera,53–60 minutes 113 minutes (pilot),"['Paramount Television', 'Jagged Productions', 'Sikelia Productions', 'Cold Front Productions']",,HBO,1080i ( HDTV ),Digital,"February 14 ( 2016-02-14 ) – April 17, 2016 ( 2016-04-17 )",,,,"""Sugar Daddy"" by Sturgill Simpson [1]",,,,,,,,,,,,,,,,,,,,
Westworld,"['Drama', 'Dystopian', 'Science fiction', 'Western']","['Jonathan Nolan', 'Lisa Joy']",Westworld by Michael Crichton,,,"['Evan Rachel Wood', 'Thandiwe Newton', 'Jeffrey Wright', 'James Marsden', 'Ingrid Bolsø Berdal', 'Luke Hemsworth', 'Sidse Babett Knudsen', 'Simon Quarterman', 'Rodrigo Santoro', 'Angela Sarafyan', 'Shannon Woodward', 'Ed Harris', 'Anthony Hopkins', 'Ben Barnes', 'Clifton Collins Jr.', 'Jimmi Simpson', 'Tessa Thompson', 'Fares Fares', 'Louis Herthum', 'Talulah Riley', 'Gustaf Skarsgård', 'Katja Herbers', 'Zahn McClarnon', 'Aaron Paul', 'Vincent Cassel', 'Tao Okamoto']",,Ramin Djawadi,United States,English,4,36 ( list of episodes ),"['J. J. Abrams', 'Jonathan Nolan', 'Lisa Joy', 'Jerry Weintraub', 'Bryan Burk', 'Richard J. Lewis', 'Roberto Patino', 'Athena Wickham', 'Ben Stephenson', 'Denise Thé', 'Alison Schapker']","['Cherylanne Martin', 'Michael Polaire', 'Carly Wray', 'Stephen Semel', ""Noreen O'Toole"", 'David Witz', 'Jordan Goldberg', 'Jay Worth', 'Don Bensko']","['California', 'Utah', 'Arizona', 'Singapore', 'Spain', 'New York City']","['Paul Cameron', 'Brendan Galvin', 'Robert McLachlan', 'Jeffrey Jur', 'David Franco', 'Darran Tiernan', 'John Grillo', 'M. David Mullen', 'John Conroy', 'Peter Flinkenberg']","['Stephen Semel', 'Marc Jozefowicz', 'Mark Yoshikawa', 'Andrew Seklir', 'Tanya Swerling', 'David Eisenberg', 'Anna Hauger', 'Ron Rosen', 'Mako Kamitsuna', 'Sarah C. Reeves', 'Thomas Sabinsky', 'Amelia Allwarden', 'Ali Comperchio', 'Yoni Reiss']",,48–91 minutes [1] [2],"['HBO Entertainment', 'Kilter Films', 'Bad Robot Productions', 'Jerry Weintraub Productions (pilot only)', 'Warner Bros. Television']","['$88+ million ( s. 1) [3] [a]', '$107+ million ( s. 2) [4] [a]', '$100+ million ( s. 3) [5] [a]', '$160+ million ( s. 4) [6]']",HBO,"['HDTV 1080p', '4K UHDTV HDR [b]', 'Dolby Vision [b]']","['Dolby Digital 5.1', 'Dolby Atmos [b]']","October 2, 2016 ( 2016-10-02 ) – August 14, 2022 ( 2022-08-14 )",,,,,,,,,,,,,,,,,,,,,,,,
Big Little Lies,"['Drama', 'Mystery', 'Black comedy [1]']",David E. Kelley,Big Little Lies by Liane Moriarty,David E. Kelley,"['Jean-Marc Vallée', 'Andrea Arnold']","['Reese Witherspoon', 'Nicole Kidman', 'Shailene Woodley', 'Alexander Skarsgård', 'Adam Scott', 'Zoë Kravitz', 'James Tupper', 'Jeffrey Nordling', 'Laura Dern', 'Iain Armitage', 'Kathryn Newton', 'Meryl Streep']",,,United States,English,2,14,"['David E. Kelley', 'Jean-Marc Vallée', 'Reese Witherspoon', 'Bruna Papandrea', 'Nicole Kidman', 'Per Saari', 'Gregg Fienberg', 'Nathan Ross', 'Andrea Arnold', 'Liane Moriarty']","['Barbara A. Hall', 'David Auge']",,"['Yves Bélanger', 'Jim Frohna']",,Single-camera,45–58 minutes,"['HBO Entertainment', 'Hello Sunshine', 'Blossom Films', 'David E. Kelley Productions', 'Crazyrose (season 2)']",,HBO,"['1080i ( HDTV )', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['5.1 surround', 'Dolby Atmos [a]']","February 19, 2017 ( 2017-02-19 ) – July 21, 2019 ( 2019-07-21 )",,,,"""Cold Little Heart"" by Michael Kiwanuka",,,,,,"Monterey, California",,,,,,,,,,,,,,
The Deuce,Period drama,"['George Pelecanos', 'David Simon']",,,,"['James Franco', 'Maggie Gyllenhaal', 'Gbenga Akinnagbe', 'Chris Bauer', 'Gary Carr', 'Chris Coy', 'Dominique Fishback', 'Lawrence Gilliard Jr.', 'Margarita Levieva', 'Emily Meade', 'Natalie Paul', 'Michael Rispoli', 'Luke Kirby', 'Jamie Neumann', 'David Krumholtz', 'Olivia Luccardi', 'Sepideh Moafi', 'Daniel Sauli']",,,United States,English,3,25 ( list of episodes ),"['David Simon', 'Richard Price', 'James Franco', 'Michelle MacLaren', 'George Pelecanos', 'Nina Kostroff Noble']","['Jessica Levin', 'Maggie Gyllenhaal', 'Mark Henry Johnson', 'Laura Schweigman']",,"['Pepe Avila del Pino', 'Vanja Cernjul', 'Yaron Orbach']",,,['58–84 minutes'],"['Blown Deadline Productions', 'Rabbit Bandini Productions', 'Spartan Productions']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","September 10, 2017 ( 2017-09-10 ) – October 28, 2019 ( 2019-10-28 )",Alex Hall,,,"['"" (Don\'t Worry) If There\'s a Hell Below, We\'re All Going to Go "" by Curtis Mayfield (season 1)', '"" This Year\'s Girl "" by Elvis Costello and Natalie Bergman (season 2)', '"" Dreaming "" by Blondie (season 3)']",,,,,,New York City,,,,,,,"""Assume the Position"" by Lafayette Gilchrist",,,,,,,
